Year,OPRHP Region,County,Facility,Attendance
2024,Allegany,Cattaraugus,Allegany Quaker Area,807401
2024,Allegany,Cattaraugus,Allegany Red House Area,718294
2024,Allegany,Chautauqua,Barcelona Lighthouse,9082
2024,Allegany,Chautauqua,Lake Erie St Pk,90188
2024,Allegany,Chautauqua,Long Point Marina,151943
2024,Allegany,Chautauqua,Midway State Park,115843
2024,Allegany,Chautauqua,Sunset Bay MarinePark,35104
2024,Central,Broome,Chenango Valley St Pk,300470
2024,Central,Broome/Delaware,Oquaga State Park,71423
2024,Central,Chenango,Bowman Lake St Pk,72235
2024,Central,Chenango,Hunts Pond State Park,0
2024,Central,Herkimer,Herkimer Home,57941
2024,Central,Madison,Chittenango Fls St Pk,152283
2024,Central,Madison,Lorenzo,28841
2024,Central,Madison,Old Erie Canal,155694
2024,Central,Oneida,Delta Lake St Pk,294205
2024,Central,Oneida,Oriskany Battlefield,6056
2024,Central,Oneida,Pixley Falls State Park,85492
2024,Central,Oneida,Steuben Memorial,1777
2024,Central,Oneida,Verona Beach State Park,265217
2024,Central,Onondaga,Clark Reservation,180916
2024,Central,Onondaga,Green Lakes State Park,1477931
2024,Central,Onondaga,State Park at the Fair *1,868745
2024,Central,Oswego,Battle Isl Golf Course,45590
2024,Central,Oswego,Fort Ontario,112464
2024,Central,Oswego,Mexico Point Boat Launch,19340
2024,Central,Oswego,Pine Grove Boatlaunch,15220
2024,Central,Oswego,Sandy Island Beach,25106
2024,Central,Oswego,Selkirk Shores,85248
2024,Central,Otsego,Betty And Wilbur Davis State Park,12047
2024,Central,Otsego,Canadarago Boat Lnch,17151
2024,Central,Otsego,Gilbert Lake St Pk,163999
2024,Central,Otsego,Glimmerglass State Park,203879
2024,Finger Lakes,Cayuga,Fair Haven St Pk,374106
2024,Finger Lakes,Cayuga,Fillmore Glen St Pk,114500
2024,Finger Lakes,Cayuga,Long Point St Pk,63484
2024,Finger Lakes,Cayuga,Springbrook Greens,2225
2024,Finger Lakes,Chemung,Mark Twain State Park and Soaring Eagles Golf Course,24571
2024,Finger Lakes,Chemung,Newtown Battlefield,68237
2024,Finger Lakes,Ontario,Canadaigua Btlau Ontrio,60636
2024,Finger Lakes,Ontario,Ganondagan,57440
2024,Finger Lakes,Ontario,H H Spencer,54972
2024,Finger Lakes,Ontario,Honeoye Bt Lau,48748
2024,Finger Lakes,Ontario,Sonnenberg Gardens and Mansion,35735
2024,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,179400
2024,Finger Lakes,Schuyler,Watkins Glen St Pk,1398473
2024,Finger Lakes,Seneca,Bonavista Golf Course,0
2024,Finger Lakes,Seneca,Cayuga Lake St Pk,221353
2024,Finger Lakes,Seneca,Deans Cove Boat Launch,36314
2024,Finger Lakes,Seneca,Lodi Point Marina/Boat,65534
2024,Finger Lakes,Seneca,Sampson St Pk,221575
2024,Finger Lakes,Steuben,Indian Hills Golf Course,19599
2024,Finger Lakes,Steuben,Pinnacle State Park and Golf Course,0
2024,Finger Lakes,Steuben,Stony Brook St Pk,119834
2024,Finger Lakes,Tompkins,Allan Treman Marina,355374
2024,Finger Lakes,Tompkins,Buttermilk Falls St Pk,386370
2024,Finger Lakes,Tompkins,Robert H Treman St Pk,372115
2024,Finger Lakes,Tompkins,Taughannock Falls St Pk,795833
2024,Finger Lakes,Wayne,Beechwood,1179
2024,Finger Lakes,Wayne,Chimney Bluffs,80507
2024,Finger Lakes,Yates,Keuka Lake St Pk,153929
2024,Genesee,Genesee,Darien Lakes State Park,84535
2024,Genesee,Livingston,Conesus Lake Boat Launch,40719
2024,Genesee,Livingston/Wyoming,Letchworth State Park,1067525
2024,Genesee,Monore/Livingston/Wyoming/Allegany/Cattaraugus,Genesee Valley Greenway,137842
2024,Genesee,Monroe,Braddock Bay,19270
2024,Genesee,Monroe,Durand Eastman,0
2024,Genesee,Monroe,Genesee River Park,424
2024,Genesee,Monroe,Hamlin Beach State Park,381859
2024,Genesee,Monroe,Irondquoit Bay Boat Lnch,26163
2024,Genesee,Orleans,Lakeside St Pk,112735
2024,Genesee,Orleans,Oak Orchard Boat Launch,11185
2024,Genesee,Wyoming,Silver Lake,36971
2024,Long Island,Nassau,Bethpage Golf Course,782887
2024,Long Island,Nassau,Brentwood Sp,889105
2024,Long Island,Nassau,Hempstead Lake St Pk,802463
2024,Long Island,Nassau,Jones Beach,9534728
2024,Long Island,Nassau,Planting Fields A,348094
2024,Long Island,Nassau,Trailview,343150
2024,Long Island,Nassau,Valley Stream St Pk,419338
2024,Long Island,Suffolk,Amsterdam Beach,28453
2024,Long Island,Suffolk,Bayard C. A.,477232
2024,Long Island,Suffolk,Belmont Lakes St Pk,1082334
2024,Long Island,Suffolk,Brookhaven State Park,71672
2024,Long Island,Suffolk,Caleb Smith State Park,100916
2024,Long Island,Suffolk,Camp Hero,353285
2024,Long Island,Suffolk,Captree St Pk,1413046
2024,Long Island,Suffolk,Caumsett St Pk,980410
2024,Long Island,Suffolk,Cold Spring Harbor,293002
2024,Long Island,Suffolk,Connetquot River St Pk,239530
2024,Long Island,Suffolk,Gilgo St Pk,123431
2024,Long Island,Suffolk,Hallock St Pk Preserve,39586
2024,Long Island,Suffolk,Heckscher St Park,1390767
2024,Long Island,Suffolk,Hither Hills,665218
2024,Long Island,Suffolk,Montauk Downs,93077
